,Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
15358,INN15359,2,0,1,2,Meal Plan 1,0,Room_Type 1,418,2018,9,26,Offline,0,0,0,75.0,0,Canceled
19978,INN19979,2,0,0,1,Not Selected,0,Room_Type 1,35,2018,6,21,Online,0,0,0,89.1,1,Canceled
22419,INN22420,3,0,1,1,Meal Plan 1,0,Room_Type 4,48,2018,10,17,Online,0,0,0,158.4,2,Not_Canceled
23236,INN23237,2,0,2,0,Meal Plan 1,0,Room_Type 1,0,2017,8,9,Online,0,0,0,98.0,2,Not_Canceled
8705,INN08706,2,0,1,1,Meal Plan 1,0,Room_Type 4,37,2018,6,4,Online,0,0,0,131.4,0,Canceled
31419,INN31420,2,0,0,2,Meal Plan 2,0,Room_Type 1,265,2018,6,24,Offline,0,0,0,109.0,0,Canceled
13859,INN13860,2,0,1,2,Meal Plan 1,0,Room_Type 1,11,2017,8,21,Online,0,0,0,90.0,0,Not_Canceled
20079,INN20080,2,0,2,4,Meal Plan 1,0,Room_Type 1,139,2018,11,16,Offline,0,0,0,68.0,0,Canceled
2198,INN02199,2,0,1,1,Meal Plan 1,1,Room_Type 2,268,2018,8,6,Online,0,0,0,105.25,1,Canceled
16032,INN16033,1,0,0,2,Meal Plan 2,0,Room_Type 1,346,2018,9,13,Offline,0,0,0,90.0,0,Canceled
4425,INN04426,2,0,0,3,Meal Plan 1,0,Room_Type 1,36,2018,10,25,Offline,0,0,0,85.0,0,Not_Canceled
6150,INN06151,2,0,0,3,Meal Plan 1,0,Room_Type 1,41,2018,4,12,Online,0,0,0,105.3,0,Not_Canceled
17327,INN17328,1,0,0,2,Meal Plan 1,0,Room_Type 5,15,2018,2,5,Corporate,0,0,0,86.0,0,Not_Canceled
822,INN00823,2,0,0,1,Meal Plan 2,0,Room_Type 1,55,2018,4,6,Offline,0,0,0,104.0,0,Not_Canceled
21389,INN21390,2,0,1,3,Not Selected,0,Room_Type 1,34,2018,3,14,Online,0,0,0,71.1,0,Not_Canceled
12175,INN12176,1,0,0,1,Meal Plan 1,0,Room_Type 4,9,2018,5,26,Aviation,1,0,1,110.0,0,Not_Canceled
18922,INN18923,2,0,2,2,Meal Plan 1,0,Room_Type 1,7,2017,9,19,Online,0,0,0,126.0,3,Not_Canceled
9503,INN09504,1,0,0,2,Meal Plan 1,0,Room_Type 1,164,2017,10,2,Offline,0,0,0,100.0,0,Not_Canceled
31821,INN31822,2,0,2,1,Meal Plan 2,0,Room_Type 1,138,2017,8,22,Offline,0,0,0,94.5,0,Canceled
21591,INN21592,2,2,0,1,Meal Plan 1,1,Room_Type 6,2,2018,2,19,Online,0,0,0,182.0,2,Not_Canceled
35841,INN35842,3,0,1,3,Meal Plan 1,0,Room_Type 4,92,2018,8,22,Online,0,0,0,150.3,0,Canceled
7970,INN07971,2,0,0,3,Meal Plan 1,0,Room_Type 1,37,2018,3,24,Online,0,0,0,117.6,1,Not_Canceled
13575,INN13576,2,0,2,3,Meal Plan 1,0,Room_Type 4,69,2018,3,13,Online,0,0,0,82.45,0,Not_Canceled
20059,INN20060,2,0,2,2,Meal Plan 1,0,Room_Type 1,134,2017,12,4,Offline,0,0,0,65.0,0,Not_Canceled
24160,INN24161,2,0,0,1,Meal Plan 2,0,Room_Type 1,55,2018,4,6,Offline,0,0,0,104.0,0,Not_Canceled
6722,INN06723,2,0,0,2,Meal Plan 2,0,Room_Type 1,102,2017,10,16,Offline,0,0,0,109.0,0,Not_Canceled
3300,INN03301,2,1,0,2,Meal Plan 1,0,Room_Type 1,97,2018,7,12,Online,0,0,0,121.5,1,Not_Canceled
19694,INN19695,2,0,2,0,Meal Plan 1,0,Room_Type 1,223,2017,10,4,Online,0,0,0,89.25,2,Not_Canceled
31480,INN31481,2,0,0,4,Meal Plan 1,0,Room_Type 1,9,2017,9,2,Online,0,0,0,103.05,0,Not_Canceled
8519,INN08520,2,0,2,1,Meal Plan 2,0,Room_Type 1,41,2018,3,27,Offline,0,0,0,107.0,1,Not_Canceled
10682,INN10683,2,0,2,2,Meal Plan 1,0,Room_Type 1,208,2018,6,11,Offline,0,0,0,80.24,2,Not_Canceled
30678,INN30679,2,0,0,3,Not Selected,0,Room_Type 1,28,2018,10,18,Online,0,0,0,91.63,1,Not_Canceled
10998,INN10999,2,0,0,2,Meal Plan 1,0,Room_Type 4,44,2018,5,18,Online,0,0,0,140.4,1,Not_Canceled
36100,INN36101,2,0,0,2,Meal Plan 1,1,Room_Type 1,217,2018,5,24,Online,0,0,0,124.2,1,Canceled
19846,INN19847,2,1,2,1,Not Selected,0,Room_Type 1,45,2018,7,2,Online,0,0,0,124.6,1,Canceled
26399,INN26400,3,0,2,0,Meal Plan 1,0,Room_Type 1,47,2018,12,4,Offline,0,0,0,98.1,2,Not_Canceled
16438,INN16439,2,0,2,5,Meal Plan 1,0,Room_Type 1,21,2018,12,6,Online,0,0,0,90.1,1,Not_Canceled
10093,INN10094,3,0,0,2,Meal Plan 1,0,Room_Type 4,29,2018,10,5,Online,0,0,0,201.25,3,Not_Canceled
34249,INN34250,1,0,0,2,Meal Plan 1,0,Room_Type 1,188,2018,6,15,Offline,0,0,0,130.0,0,Canceled
13087,INN13088,2,0,0,2,Meal Plan 2,0,Room_Type 1,291,2018,8,19,Offline,0,0,0,115.0,0,Canceled
12342,INN12343,1,0,0,3,Meal Plan 2,0,Room_Type 1,88,2018,5,3,Offline,0,0,0,96.0,0,Not_Canceled
25522,INN25523,2,0,1,1,Not Selected,0,Room_Type 1,31,2018,3,26,Online,0,0,0,116.1,0,Canceled
11485,INN11486,2,0,0,2,Meal Plan 1,0,Room_Type 1,182,2018,9,30,Online,0,0,0,117.9,2,Canceled
26737,INN26738,2,0,0,2,Not Selected,0,Room_Type 1,1,2018,1,20,Online,0,0,0,79.0,0,Not_Canceled
6645,INN06646,2,0,0,2,Meal Plan 1,0,Room_Type 1,43,2018,10,19,Offline,0,0,0,85.5,0,Not_Canceled
28865,INN28866,2,0,0,2,Meal Plan 2,0,Room_Type 1,102,2017,10,16,Offline,0,0,0,101.5,0,Canceled
33536,INN33537,2,1,0,2,Meal Plan 1,0,Room_Type 1,179,2018,8,31,Online,0,0,0,111.6,0,Canceled
18449,INN18450,1,0,1,0,Meal Plan 1,0,Room_Type 1,39,2018,9,25,Online,0,0,0,129.7,0,Not_Canceled
23570,INN23571,2,0,0,3,Meal Plan 1,0,Room_Type 4,87,2018,10,6,Online,0,0,0,132.3,0,Canceled
28071,INN28072,1,0,0,2,Meal Plan 1,0,Room_Type 1,1,2017,10,2,Offline,0,0,0,100.0,0,Not_Canceled
7311,INN07312,1,0,0,2,Meal Plan 1,0,Room_Type 1,86,2017,9,24,Offline,0,0,0,87.5,0,Not_Canceled
24861,INN24862,2,0,2,5,Meal Plan 1,0,Room_Type 1,76,2018,3,29,Online,0,0,0,82.45,1,Not_Canceled
20908,INN20909,2,0,0,2,Meal Plan 2,0,Room_Type 1,74,2017,9,18,Offline,0,0,0,109.0,0,Not_Canceled
27952,INN27953,2,0,0,2,Meal Plan 2,0,Room_Type 1,56,2017,9,17,Offline,0,0,0,82.0,0,Not_Canceled
2717,INN02718,2,0,0,2,Not Selected,0,Room_Type 1,13,2018,8,19,Online,0,0,0,128.5,3,Not_Canceled
2079,INN02080,2,2,0,4,Meal Plan 1,0,Room_Type 5,111,2018,5,4,Online,0,0,0,122.1,1,Not_Canceled
27965,INN27966,2,0,1,1,Meal Plan 1,0,Room_Type 1,18,2018,3,19,Online,0,0,0,109.0,0,Canceled
33719,INN33720,1,0,2,1,Meal Plan 2,0,Room_Type 1,122,2018,3,27,Offline,0,0,0,86.0,0,Not_Canceled
24442,INN24443,1,0,1,4,Meal Plan 1,0,Room_Type 1,131,2018,7,11,Online,0,0,0,101.15,1,Not_Canceled
2482,INN02483,2,0,0,1,Meal Plan 1,0,Room_Type 4,85,2018,6,2,Online,0,0,0,140.4,0,Canceled
26838,INN26839,2,0,0,1,Meal Plan 1,0,Room_Type 1,92,2018,11,11,Offline,0,0,0,90.0,0,Not_Canceled
1759,INN01760,1,0,0,2,Meal Plan 2,0,Room_Type 4,80,2017,10,9,Offline,0,0,0,108.0,0,Not_Canceled
9984,INN09985,2,2,1,3,Meal Plan 1,0,Room_Type 6,8,2018,2,22,Online,0,0,0,171.0,0,Canceled
20806,INN20807,2,0,0,2,Meal Plan 1,0,Room_Type 1,20,2018,7,28,Online,0,0,0,122.6,0,Not_Canceled
9916,INN09917,2,0,0,1,Not Selected,0,Room_Type 1,2,2018,9,28,Online,0,0,0,0.0,1,Not_Canceled
21566,INN21567,1,0,0,3,Meal Plan 1,0,Room_Type 4,1,2018,3,8,Corporate,0,0,0,75.0,0,Not_Canceled
31195,INN31196,2,0,0,3,Meal Plan 1,0,Room_Type 1,314,2018,10,12,Offline,0,0,0,75.0,0,Canceled
24917,INN24918,2,0,0,1,Meal Plan 1,0,Room_Type 1,27,2018,6,9,Offline,0,0,0,120.0,0,Not_Canceled
19816,INN19817,2,0,1,2,Not Selected,0,Room_Type 1,40,2018,11,18,Online,0,0,0,67.76,1,Not_Canceled
4944,INN04945,2,0,0,1,Meal Plan 1,0,Room_Type 1,27,2018,6,9,Offline,0,0,0,120.0,0,Not_Canceled
27696,INN27697,2,0,2,2,Meal Plan 1,0,Room_Type 1,123,2018,5,13,Online,0,0,0,113.55,0,Canceled
16241,INN16242,2,0,1,4,Meal Plan 1,0,Room_Type 1,143,2018,9,21,Online,0,0,0,129.6,2,Canceled
10395,INN10396,2,2,2,9,Meal Plan 1,0,Room_Type 2,252,2018,12,28,Online,0,0,0,148.58,2,Canceled
19097,INN19098,2,0,0,2,Meal Plan 1,0,Room_Type 1,86,2017,9,24,Offline,0,0,0,105.0,0,Not_Canceled
4757,INN04758,2,0,2,1,Meal Plan 1,0,Room_Type 1,13,2018,10,9,Online,0,0,0,177.62,1,Not_Canceled
28734,INN28735,2,0,2,4,Meal Plan 1,0,Room_Type 1,165,2018,7,31,Offline,0,0,0,72.25,2,Not_Canceled
22359,INN22360,2,0,0,1,Not Selected,0,Room_Type 1,8,2018,5,25,Online,0,0,0,99.0,1,Not_Canceled
19956,INN19957,1,0,2,5,Meal Plan 1,0,Room_Type 1,20,2017,11,11,Online,0,0,0,68.85,1,Not_Canceled
5299,INN05300,2,0,1,3,Meal Plan 1,0,Room_Type 1,24,2017,9,10,Online,0,0,0,108.08,1,Not_Canceled
1990,INN01991,3,0,1,3,Meal Plan 1,0,Room_Type 4,147,2018,7,7,Online,0,0,0,138.55,1,Canceled
13490,INN13491,1,0,0,1,Meal Plan 1,0,Room_Type 1,14,2017,10,15,Offline,0,0,0,100.0,0,Not_Canceled
4971,INN04972,2,0,2,1,Meal Plan 2,0,Room_Type 1,117,2017,8,1,Online,0,0,0,94.5,0,Canceled
6783,INN06784,2,0,1,0,Not Selected,0,Room_Type 1,6,2018,6,13,Online,0,0,0,89.0,0,Not_Canceled
8666,INN08667,1,0,1,1,Meal Plan 1,0,Room_Type 1,4,2018,2,15,Corporate,1,0,9,65.0,1,Not_Canceled
8070,INN08071,2,1,0,1,Meal Plan 1,0,Room_Type 1,4,2018,7,14,Online,0,0,0,151.0,1,Not_Canceled
8577,INN08578,2,0,2,1,Meal Plan 1,0,Room_Type 1,7,2018,10,29,Online,0,0,0,146.67,1,Not_Canceled
7973,INN07974,2,0,0,3,Meal Plan 2,0,Room_Type 1,34,2017,9,23,Offline,0,0,0,224.67,0,Canceled
34393,INN34394,3,1,1,3,Meal Plan 1,0,Room_Type 7,78,2018,12,29,Offline,0,0,0,274.2,0,Not_Canceled
25150,INN25151,2,0,0,3,Meal Plan 1,0,Room_Type 1,19,2017,10,6,Offline,1,1,0,90.0,0,Not_Canceled
13224,INN13225,2,0,1,2,Not Selected,0,Room_Type 1,47,2018,11,11,Online,0,0,0,79.2,1,Canceled
32409,INN32410,2,0,2,6,Not Selected,0,Room_Type 1,10,2018,1,30,Online,0,0,0,79.75,0,Not_Canceled
31880,INN31881,1,0,0,1,Meal Plan 1,0,Room_Type 1,59,2018,1,28,Offline,0,0,0,81.0,0,Not_Canceled
9524,INN09525,2,0,2,4,Meal Plan 1,0,Room_Type 4,10,2017,9,5,Online,0,0,0,110.08,1,Not_Canceled
11694,INN11695,1,0,0,2,Meal Plan 1,0,Room_Type 1,164,2017,10,2,Offline,0,0,0,100.0,0,Canceled
2708,INN02709,2,0,2,3,Meal Plan 1,0,Room_Type 4,18,2017,10,16,Online,0,0,0,107.65,1,Not_Canceled
34622,INN34623,2,0,0,3,Not Selected,1,Room_Type 1,141,2018,7,14,Online,0,0,0,103.5,1,Not_Canceled
19256,INN19257,2,0,1,1,Meal Plan 1,0,Room_Type 1,218,2018,8,13,Online,0,0,0,69.33,0,Canceled
1645,INN01646,1,0,1,1,Meal Plan 1,0,Room_Type 1,4,2017,8,17,Online,0,0,0,128.0,3,Not_Canceled
22116,INN22117,2,0,0,4,Meal Plan 1,0,Room_Type 4,55,2017,11,17,Offline,0,0,0,60.0,0,Not_Canceled
11053,INN11054,2,0,2,3,Meal Plan 2,0,Room_Type 4,33,2018,10,2,Online,0,0,0,123.82,0,Canceled
34560,INN34561,2,2,2,3,Meal Plan 1,0,Room_Type 6,99,2018,5,19,Online,0,0,0,187.85,0,Not_Canceled
13718,INN13719,2,0,1,1,Meal Plan 1,0,Room_Type 1,51,2018,9,26,Online,0,0,0,135.9,2,Not_Canceled
3797,INN03798,1,0,2,2,Meal Plan 1,0,Room_Type 1,115,2018,2,27,Offline,0,0,0,76.0,0,Not_Canceled
3368,INN03369,2,0,1,1,Meal Plan 1,0,Room_Type 1,50,2018,8,29,Online,0,0,0,109.8,0,Not_Canceled
20530,INN20531,2,0,0,2,Meal Plan 1,0,Room_Type 1,17,2018,3,17,Corporate,0,0,0,80.0,1,Not_Canceled
27632,INN27633,1,0,1,0,Meal Plan 1,0,Room_Type 1,5,2018,9,19,Online,0,0,0,159.0,1,Not_Canceled
126,INN00127,1,0,0,1,Meal Plan 1,0,Room_Type 1,14,2018,11,3,Online,0,0,0,112.0,1,Canceled
15343,INN15344,1,0,0,2,Meal Plan 1,0,Room_Type 1,188,2018,6,15,Offline,0,0,0,130.0,0,Canceled
19915,INN19916,2,0,2,2,Meal Plan 1,0,Room_Type 1,152,2018,5,7,Online,0,0,0,76.58,1,Not_Canceled
27306,INN27307,2,0,0,1,Meal Plan 1,0,Room_Type 1,27,2018,6,9,Offline,0,0,0,120.0,0,Not_Canceled
33595,INN33596,2,0,1,2,Meal Plan 1,0,Room_Type 4,0,2017,9,21,Offline,0,0,0,75.0,0,Not_Canceled
26215,INN26216,1,0,0,2,Meal Plan 1,0,Room_Type 4,10,2018,7,20,Online,0,0,0,176.0,2,Not_Canceled
15328,INN15329,2,0,2,2,Meal Plan 1,0,Room_Type 1,91,2018,9,3,Online,0,0,0,135.9,1,Not_Canceled
17368,INN17369,2,0,1,3,Meal Plan 1,0,Room_Type 1,56,2018,11,10,Online,0,0,0,97.23,0,Not_Canceled
7783,INN07784,2,0,0,2,Meal Plan 1,0,Room_Type 1,47,2017,9,23,Online,0,0,0,94.5,1,Not_Canceled
10380,INN10381,2,0,1,1,Not Selected,0,Room_Type 1,39,2018,2,15,Online,0,0,0,67.5,0,Canceled
10457,INN10458,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,10,15,Online,0,0,0,117.05,1,Not_Canceled
2443,INN02444,3,0,2,2,Meal Plan 1,0,Room_Type 4,98,2018,12,17,Online,0,0,0,140.0,1,Not_Canceled
24938,INN24939,2,0,0,3,Meal Plan 1,0,Room_Type 1,160,2017,12,30,Offline,0,0,0,70.67,0,Not_Canceled
10541,INN10542,2,1,1,2,Meal Plan 1,0,Room_Type 4,109,2018,8,5,Online,0,0,0,143.7,1,Not_Canceled
814,INN00815,1,0,0,2,Meal Plan 1,0,Room_Type 1,5,2017,9,9,Corporate,0,0,0,65.0,0,Not_Canceled
12999,INN13000,1,0,0,2,Meal Plan 1,0,Room_Type 1,164,2017,10,2,Offline,0,0,0,100.0,0,Canceled
35443,INN35444,2,0,2,5,Meal Plan 1,0,Room_Type 4,195,2018,8,17,Online,0,0,0,112.2,2,Canceled
14153,INN14154,1,0,1,1,Meal Plan 1,0,Room_Type 4,6,2018,10,1,Online,0,0,0,152.0,0,Not_Canceled
12298,INN12299,1,0,0,2,Meal Plan 1,0,Room_Type 1,192,2018,6,24,Offline,0,0,0,95.0,0,Not_Canceled
5779,INN05780,2,1,1,1,Meal Plan 1,0,Room_Type 1,155,2018,8,1,Online,0,0,0,130.5,1,Canceled
34884,INN34885,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,1,6,Online,0,0,0,73.9,1,Not_Canceled
33561,INN33562,2,1,2,1,Meal Plan 1,0,Room_Type 1,28,2018,4,17,Online,0,0,0,115.03,1,Canceled
10147,INN10148,2,0,0,2,Meal Plan 1,0,Room_Type 1,22,2018,5,20,Offline,0,0,0,140.0,0,Not_Canceled
16478,INN16479,2,0,2,2,Meal Plan 1,0,Room_Type 4,2,2018,1,3,Online,0,0,0,79.6,0,Not_Canceled
20609,INN20610,1,0,0,3,Meal Plan 1,0,Room_Type 1,12,2017,8,5,Complementary,0,0,0,0.0,0,Not_Canceled
3756,INN03757,2,0,1,1,Meal Plan 1,0,Room_Type 1,89,2017,7,27,Online,0,0,0,76.5,0,Canceled
18755,INN18756,2,1,0,4,Meal Plan 1,0,Room_Type 1,64,2018,3,22,Offline,0,0,0,71.83,1,Not_Canceled
14382,INN14383,2,0,1,2,Meal Plan 1,0,Room_Type 1,42,2018,3,21,Offline,0,0,0,63.0,0,Canceled
20103,INN20104,2,0,2,1,Meal Plan 1,0,Room_Type 1,41,2018,7,3,Offline,0,0,0,76.5,0,Not_Canceled
6359,INN06360,2,0,1,2,Meal Plan 1,0,Room_Type 1,133,2018,3,11,Offline,0,0,0,84.33,1,Not_Canceled
35572,INN35573,2,0,2,2,Meal Plan 1,0,Room_Type 1,35,2018,12,2,Online,0,0,0,97.4,1,Not_Canceled
29486,INN29487,3,0,0,1,Meal Plan 1,0,Room_Type 4,34,2018,8,10,Online,0,0,0,168.3,0,Canceled
23710,INN23711,1,0,1,3,Meal Plan 1,0,Room_Type 5,4,2018,9,19,Corporate,0,0,0,181.79,0,Not_Canceled
32265,INN32266,2,0,0,3,Meal Plan 1,0,Room_Type 1,279,2018,10,12,Offline,0,0,0,110.0,0,Canceled
19029,INN19030,2,0,2,5,Meal Plan 1,0,Room_Type 4,196,2018,8,1,Online,0,0,0,99.45,1,Not_Canceled
2243,INN02244,2,0,0,2,Meal Plan 1,0,Room_Type 1,23,2017,10,16,Online,0,0,0,98.4,2,Not_Canceled
2336,INN02337,0,2,1,3,Meal Plan 1,0,Room_Type 2,48,2017,10,19,Online,0,0,0,6.0,1,Not_Canceled
17334,INN17335,2,0,1,2,Meal Plan 1,0,Room_Type 1,94,2018,5,13,Offline,0,0,0,80.75,0,Not_Canceled
32154,INN32155,2,0,2,1,Meal Plan 1,0,Room_Type 1,68,2018,10,30,Online,0,0,0,96.6,1,Not_Canceled
1120,INN01121,2,0,2,3,Meal Plan 1,0,Room_Type 1,17,2017,8,27,Online,0,0,0,90.0,1,Not_Canceled
32184,INN32185,1,0,0,2,Meal Plan 1,0,Room_Type 1,0,2018,1,19,Online,0,0,0,79.0,0,Not_Canceled
10789,INN10790,2,0,2,5,Not Selected,0,Room_Type 1,53,2018,12,17,Online,0,0,0,74.8,2,Not_Canceled
33187,INN33188,2,0,1,4,Not Selected,0,Room_Type 1,113,2018,5,18,Online,0,0,0,126.65,0,Canceled
922,INN00923,1,0,1,1,Meal Plan 1,0,Room_Type 1,13,2018,7,11,Corporate,0,0,0,79.0,0,Not_Canceled
9446,INN09447,2,0,1,3,Meal Plan 1,0,Room_Type 4,102,2018,5,5,Online,0,0,0,132.6,1,Not_Canceled
25053,INN25054,2,0,2,3,Meal Plan 1,0,Room_Type 1,68,2018,4,2,Online,0,0,0,89.93,1,Not_Canceled
5408,INN05409,2,0,2,4,Meal Plan 1,0,Room_Type 1,1,2018,1,17,Online,0,0,0,90.33,1,Not_Canceled
5788,INN05789,1,0,1,2,Meal Plan 1,0,Room_Type 1,118,2018,6,6,Offline,0,0,0,110.0,0,Not_Canceled
15374,INN15375,2,0,0,3,Meal Plan 1,0,Room_Type 1,34,2017,10,29,Online,0,0,0,87.32,1,Not_Canceled
21951,INN21952,2,0,2,4,Meal Plan 1,0,Room_Type 1,78,2018,3,31,Online,0,0,0,82.45,1,Not_Canceled
31273,INN31274,2,0,0,3,Meal Plan 1,0,Room_Type 1,73,2017,11,24,Offline,0,0,0,85.67,0,Not_Canceled
24519,INN24520,2,0,2,3,Meal Plan 1,0,Room_Type 4,4,2018,9,2,Online,0,0,0,162.0,0,Not_Canceled
17586,INN17587,2,0,2,1,Meal Plan 1,0,Room_Type 1,31,2018,2,28,Offline,0,0,0,71.33,0,Not_Canceled
31110,INN31111,2,0,2,1,Meal Plan 1,0,Room_Type 1,282,2017,10,10,Offline,0,0,0,76.67,0,Not_Canceled
27202,INN27203,1,0,2,2,Meal Plan 1,0,Room_Type 1,162,2018,10,14,Offline,0,0,0,115.0,0,Canceled
1970,INN01971,2,2,0,3,Meal Plan 1,0,Room_Type 2,43,2018,1,14,Online,0,0,0,86.75,0,Canceled
11302,INN11303,2,0,2,2,Meal Plan 1,0,Room_Type 1,226,2018,10,29,Offline,0,0,0,70.0,1,Not_Canceled
4018,INN04019,2,0,1,3,Meal Plan 1,0,Room_Type 1,29,2018,7,18,Online,0,0,0,130.68,1,Not_Canceled
26727,INN26728,2,0,2,2,Meal Plan 1,0,Room_Type 1,59,2018,10,16,Online,0,0,0,126.0,1,Not_Canceled
18381,INN18382,1,0,1,0,Meal Plan 1,0,Room_Type 1,36,2018,10,16,Online,0,0,0,107.1,1,Canceled
11246,INN11247,2,0,0,4,Meal Plan 1,0,Room_Type 4,85,2018,10,25,Online,0,0,0,104.4,2,Not_Canceled
34016,INN34017,2,0,0,4,Meal Plan 1,0,Room_Type 1,33,2018,3,15,Online,0,0,0,81.9,1,Not_Canceled
2192,INN02193,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,2,19,Corporate,0,0,0,80.0,0,Not_Canceled
19096,INN19097,2,2,1,2,Meal Plan 1,0,Room_Type 6,1,2018,4,29,Online,0,0,0,211.0,1,Not_Canceled
9184,INN09185,2,0,0,2,Meal Plan 2,0,Room_Type 1,292,2018,7,21,Offline,0,0,0,115.0,0,Canceled
18574,INN18575,3,0,1,5,Meal Plan 1,0,Room_Type 1,130,2018,6,28,Online,0,0,0,125.51,2,Not_Canceled
21526,INN21527,2,0,2,2,Not Selected,0,Room_Type 1,43,2018,11,12,Online,0,0,0,79.48,2,Not_Canceled
5984,INN05985,1,0,1,2,Meal Plan 1,0,Room_Type 5,20,2018,1,4,Complementary,0,0,0,6.0,0,Not_Canceled
6565,INN06566,2,0,1,3,Meal Plan 1,0,Room_Type 1,5,2017,12,14,Offline,0,0,0,58.0,0,Not_Canceled
7804,INN07805,2,0,2,1,Meal Plan 1,0,Room_Type 1,104,2018,7,2,Online,0,0,0,88.01,1,Not_Canceled
11954,INN11955,1,0,0,2,Meal Plan 1,0,Room_Type 1,3,2018,6,28,Online,0,0,0,130.0,1,Not_Canceled
28173,INN28174,1,0,1,1,Meal Plan 1,0,Room_Type 1,13,2018,7,11,Corporate,0,0,0,79.0,0,Not_Canceled
29287,INN29288,2,0,0,2,Meal Plan 1,0,Room_Type 1,18,2017,12,1,Online,0,0,0,69.0,2,Not_Canceled
9510,INN09511,1,0,1,3,Meal Plan 1,0,Room_Type 4,7,2018,10,27,Aviation,0,0,0,110.0,0,Not_Canceled
18520,INN18521,2,0,1,0,Meal Plan 1,0,Room_Type 7,9,2018,9,11,Complementary,0,0,0,0.0,2,Not_Canceled
17449,INN17450,1,0,1,4,Not Selected,0,Room_Type 1,13,2018,10,31,Online,0,0,0,92.0,0,Canceled
14060,INN14061,1,0,1,0,Not Selected,0,Room_Type 1,35,2018,9,26,Online,0,0,0,99.0,0,Canceled
16984,INN16985,2,0,2,3,Not Selected,0,Room_Type 1,38,2018,2,11,Online,0,0,0,67.5,0,Canceled
20611,INN20612,2,0,0,2,Not Selected,0,Room_Type 1,142,2018,7,1,Online,0,0,0,85.5,0,Canceled
77,INN00078,2,0,1,2,Meal Plan 1,0,Room_Type 1,64,2018,6,27,Online,0,0,0,111.9,1,Not_Canceled
23930,INN23931,2,1,2,4,Meal Plan 1,0,Room_Type 1,61,2018,7,23,Online,0,0,0,121.5,0,Canceled
19282,INN19283,2,0,0,1,Meal Plan 1,0,Room_Type 1,20,2018,11,25,Online,0,0,0,104.0,1,Not_Canceled
15524,INN15525,2,0,1,0,Meal Plan 1,0,Room_Type 1,44,2018,6,19,Online,0,0,0,99.1,1,Not_Canceled
21204,INN21205,2,0,2,2,Not Selected,0,Room_Type 1,39,2018,2,28,Online,0,0,0,72.2,1,Not_Canceled
23325,INN23326,1,0,2,1,Meal Plan 1,0,Room_Type 1,93,2018,10,15,Offline,0,0,0,115.0,0,Canceled
30523,INN30524,2,0,1,4,Meal Plan 1,0,Room_Type 1,100,2018,12,26,Online,0,0,0,102.34,0,Canceled
8007,INN08008,2,0,0,3,Meal Plan 1,0,Room_Type 1,12,2017,8,5,Corporate,0,0,0,65.0,0,Not_Canceled
21852,INN21853,2,0,0,3,Meal Plan 1,0,Room_Type 4,130,2018,9,29,Online,0,0,0,139.5,2,Canceled
5951,INN05952,1,0,2,1,Meal Plan 2,0,Room_Type 1,131,2017,8,15,Online,0,0,0,36.25,0,Canceled
5415,INN05416,3,0,2,2,Meal Plan 1,0,Room_Type 4,41,2018,12,2,Online,0,0,0,130.9,2,Not_Canceled
8162,INN08163,2,0,0,2,Meal Plan 1,0,Room_Type 1,182,2018,9,30,Online,0,0,0,117.9,2,Canceled
19019,INN19020,1,0,1,2,Meal Plan 1,0,Room_Type 1,55,2018,5,30,Online,0,0,0,109.35,0,Canceled
5256,INN05257,2,2,1,1,Meal Plan 1,0,Room_Type 6,3,2017,8,24,Online,0,0,0,156.0,0,Not_Canceled
8567,INN08568,2,0,0,1,Meal Plan 2,0,Room_Type 1,55,2018,4,6,Offline,0,0,0,104.0,0,Not_Canceled
1908,INN01909,2,0,0,3,Meal Plan 1,0,Room_Type 1,50,2018,2,24,Offline,0,0,0,74.0,0,Not_Canceled
235,INN00236,2,0,2,6,Not Selected,0,Room_Type 1,4,2017,8,14,Online,0,0,0,95.13,1,Not_Canceled
12219,INN12220,2,0,2,1,Meal Plan 1,0,Room_Type 1,100,2017,12,12,Online,0,0,0,72.25,2,Not_Canceled
31037,INN31038,2,0,1,1,Meal Plan 1,0,Room_Type 4,44,2018,6,18,Offline,0,0,0,96.3,0,Not_Canceled
17988,INN17989,2,2,1,1,Not Selected,1,Room_Type 6,5,2017,8,15,Online,0,0,0,153.0,1,Not_Canceled
28253,INN28254,2,0,0,2,Meal Plan 1,0,Room_Type 1,2,2018,2,10,Corporate,0,0,0,72.0,0,Not_Canceled
26614,INN26615,2,0,1,1,Meal Plan 1,0,Room_Type 1,27,2018,2,20,Online,0,0,0,91.0,1,Canceled
32293,INN32294,2,0,0,3,Meal Plan 1,0,Room_Type 1,37,2018,10,13,Offline,0,0,0,105.0,0,Not_Canceled
14231,INN14232,1,0,2,0,Meal Plan 1,0,Room_Type 1,0,2017,10,11,Online,0,0,0,88.94,0,Not_Canceled
